file,dossier,lang,clip_id,text,speech_ms,ambience_ms,tail_ms,total_ms,rms_dbfs
out\long\fr\S009_verifying_je_verifie_ca_v3.wav,long,fr,S009_verifying,"Je vérifie ça, veuillez patienter quelques secondes.",3097,12000,200,15547,-20.0
out\long\fr\S010_loading_je_regarde_ca_v3.wav,long,fr,S010_loading,"Je regarde ça, veuillez patienter quelques secondes.",3171,12000,200,15621,-20.0
out\long\fr\S011_searching_je_cherche_ca_v3.wav,long,fr,S011_searching,"Je cherche ça, veuillez patienter quelques secondes.",3056,12000,200,15506,-20.0
out\long\fr\S014_fetch_je_recupere_l_information_v3.wav,long,fr,S014_fetch,"Je récupère l'information, veuillez patienter quelques secondes.",3664,12000,200,16114,-20.0
out\long\fr\S015_system_je_verifie_dans_le_systeme_v3.wav,long,fr,S015_system,"Je vérifie dans le système, veuillez patienter quelques secondes.",3620,12000,200,16070,-20.0
out\long\nl\S009_verifying_ik_kijk_dat_even_na_v3.wav,long,nl,S009_verifying,"Ik kijk dat even na, een ogenblik geduld alstublieft.",3435,12000,200,15885,-20.0
out\long\nl\S010_loading_ik_haal_het_even_op_v3.wav,long,nl,S010_loading,"Ik haal het even op, een ogenblik geduld alstublieft.",3336,12000,200,15786,-20.0
out\long\nl\S011_searching_ik_zoek_het_even_op_v3.wav,long,nl,S011_searching,"Ik zoek het even op, een ogenblik geduld alstublieft.",3323,12000,200,15773,-20.0
out\long\nl\S014_fetch_ik_haal_de_informatie_op_v3.wav,long,nl,S014_fetch,"Ik haal de informatie op, een ogenblik geduld alstublieft.",3727,12000,200,16177,-20.0
